CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,InternetService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Timestamp,Churn
CUST1081,Female,0,Yes,Yes,71,Yes,DSL,One year,Mailed check,54.11,5254.68,2025-03-01T07:37:09,Yes
CUST1082,Male,0,Yes,Yes,24,Yes,DSL,Two year,Bank transfer,24.61,6295.0,2023-07-23T11:06:30,Yes
CUST1083,Female,0,Yes,No,22,No,DSL,Month-to-month,Credit card,73.09,6453.71,2023-01-26T09:17:51,Yes
CUST1084,Male,0,Yes,No,29,Yes,DSL,Two year,Credit card,32.23,4844.48,2022-09-30T10:58:48,No
CUST1085,Male,0,No,No,10,Yes,DSL,Two year,Mailed check,67.31,4953.72,2020-11-06T00:48:06,No
CUST1086,Female,0,Yes,No,34,Yes,Fiber optic,Two year,Electronic check,50.55,6135.93,2024-04-17T12:54:06,No
CUST1087,Male,0,Yes,No,26,Yes,DSL,Two year,Mailed check,96.16,4911.09,2025-07-16T23:25:25,Yes
CUST1088,Female,0,No,Yes,66,Yes,,One year,,,3855.26,2022-04-24T07:47:13,No
CUST1089,Female,0,Yes,Yes,46,No,Fiber optic,One year,Electronic check,104.82,3531.77,2023-02-28T19:24:26,No
CUST1090,Female,0,Yes,No,49,Yes,No,One year,Bank transfer,114.13,7882.86,2023-04-21T04:35:57,No
CUST1091,Female,0,Yes,Yes,7,Yes,No,One year,Bank transfer,116.95,1923.24,2022-09-01T04:19:18,No
CUST1092,Female,0,Yes,No,54,Yes,,One year,,,587.54,2020-03-08T19:14:42,Yes
CUST1093,Female,0,No,No,41,Yes,No,Month-to-month,Bank transfer,96.76,5383.06,2024-11-09T23:39:10,Yes
CUST1094,Female,0,Yes,Yes,66,No,DSL,Two year,Electronic check,63.81,2308.1,2023-08-01T01:48:48,No
CUST1095,Female,0,Yes,Yes,19,Yes,DSL,One year,Bank transfer,62.62,2071.99,2025-02-14T21:41:00,Yes
CUST1096,Female,0,No,Yes,44,No,,Two year,,,7385.43,2022-10-25T01:14:54,No
CUST1097,Female,0,Yes,Yes,34,Yes,No,One year,Electronic check,34.57,4581.33,2024-11-18T20:27:52,Yes
CUST1098,Female,0,Yes,No,19,No,Fiber optic,One year,Bank transfer,67.78,5530.22,2021-09-10T03:25:55,Yes
CUST1099,Male,0,No,Yes,23,Yes,DSL,Month-to-month,Bank transfer,79.29,5288.0,2025-01-04T18:56:58,No
CUST1100,Male,0,Yes,Yes,56,Yes,Fiber optic,Two year,Credit card,26.61,5307.36,2024-09-09T14:43:43,Yes
CUST1101,Female,0,No,Yes,54,Yes,Fiber optic,One year,Bank transfer,106.45,5242.66,2023-03-13T07:41:29,No
CUST1102,Female,0,Yes,No,8,Yes,DSL,One year,Mailed check,51.43,,2020-04-17T18:15:12,No
CUST1103,Female,0,No,No,15,No,Fiber optic,Month-to-month,Bank transfer,85.68,4078.56,2025-06-29T08:23:32,No
CUST1104,Female,0,Yes,No,54,Yes,Fiber optic,Two year,Mailed check,112.81,2710.02,2022-11-27T18:57:45,No
CUST1105,Female,0,Yes,Yes,71,No,DSL,Two year,Electronic check,91.98,5534.05,2023-11-18T22:02:41,Yes
CUST1106,Female,0,No,Yes,57,No,,One year,,,2207.44,2020-10-07T01:05:02,No
CUST1107,Female,0,Yes,Yes,63,Yes,,Month-to-month,,,3010.35,2021-01-26T08:10:11,No
CUST1108,Female,0,No,No,48,No,DSL,Month-to-month,Electronic check,69.27,1747.64,2020-01-14T17:58:32,Yes
CUST1109,Male,1,No,Yes,28,No,DSL,One year,Mailed check,76.48,1770.12,2021-07-01T04:27:22,Yes
CUST1110,Female,1,No,Yes,6,Yes,DSL,Two year,Electronic check,88.9,5201.85,2020-05-19T16:19:05,No
CUST1111,Male,1,No,No,68,Yes,DSL,One year,Electronic check,31.69,3894.72,2024-08-22T06:59:44,Yes
CUST1112,Female,0,Yes,Yes,1,Yes,DSL,Two year,Bank transfer,85.68,7832.09,2025-07-27T16:37:06,No
CUST1113,Female,0,No,Yes,32,Yes,DSL,Month-to-month,Mailed check,34.6,518.09,2024-05-03T15:35:34,No
CUST1114,Male,0,Yes,Yes,47,Yes,DSL,One year,Mailed check,26.76,3049.07,2022-05-10T04:55:10,No
CUST1115,Female,0,Yes,Yes,36,Yes,No,One year,Mailed check,66.93,1514.23,2025-02-21T05:51:33,No
CUST1116,Male,0,No,No,29,Yes,Fiber optic,One year,Electronic check,80.04,295.68,2025-01-26T05:11:07,Yes
CUST1117,Female,0,No,No,40,No,No,Two year,Mailed check,115.81,1320.94,2022-07-16T03:37:26,No
CUST1118,Female,0,Yes,No,3,No,Fiber optic,Two year,Electronic check,89.86,499.69,2020-09-20T10:35:15,No
CUST1119,Male,0,No,Yes,38,Yes,,Month-to-month,,,5918.48,2021-12-10T15:03:13,No
CUST1120,Female,0,Yes,Yes,23,No,No,Two year,Credit card,41.46,4292.3,2021-09-26T02:56:55,No
CUST1121,Male,1,No,No,49,No,DSL,Two year,Credit card,35.2,701.9,2020-03-19T15:33:55,Yes
CUST1122,Female,0,Yes,Yes,36,No,Fiber optic,One year,Electronic check,80.73,388.96,2024-12-29T12:04:30,Yes
CUST1123,Male,0,Yes,No,52,Yes,No,Month-to-month,Electronic check,42.29,1038.68,2020-01-23T11:56:34,No
CUST1124,Male,1,No,No,24,No,No,Month-to-month,Bank transfer,90.66,3170.18,2022-06-07T21:46:51,No
CUST1125,Female,0,Yes,Yes,30,Yes,Fiber optic,One year,Credit card,31.45,,2020-05-07T22:20:42,No
CUST1126,Female,0,Yes,No,37,No,Fiber optic,Two year,Mailed check,53.96,4589.59,2021-08-15T17:50:59,No
CUST1127,Male,0,No,No,57,Yes,No,Two year,Credit card,97.31,6680.72,2023-12-22T16:43:03,No
CUST1128,Female,0,No,No,52,No,No,One year,Credit card,103.1,1862.7,2024-06-26T08:30:45,No
CUST1129,Female,1,No,No,49,No,No,One year,Credit card,54.52,1296.67,2021-11-21T13:38:43,No
CUST1130,Female,0,No,No,3,Yes,Fiber optic,Two year,Mailed check,40.67,5648.54,2022-06-05T09:55:40,No
CUST1131,Male,0,No,No,51,No,DSL,Month-to-month,Electronic check,115.82,,2022-05-01T15:42:58,No
CUST1132,Male,0,Yes,Yes,30,Yes,No,One year,Credit card,96.11,6102.91,2022-08-15T16:01:01,No
CUST1133,Male,0,Yes,No,13,Yes,Fiber optic,Two year,Credit card,100.71,211.67,2025-04-03T14:31:17,No
CUST1134,Male,1,No,No,0,Yes,No,One year,Electronic check,42.28,2223.16,2023-04-05T07:00:23,No
CUST1135,Male,0,Yes,Yes,42,No,Fiber optic,Month-to-month,Electronic check,62.44,7729.45,2022-07-05T19:59:55,No
CUST1136,Male,0,Yes,Yes,58,No,No,Month-to-month,Bank transfer,26.82,1604.44,2023-05-26T06:43:05,No
CUST1137,Male,0,Yes,No,60,Yes,Fiber optic,Two year,Credit card,30.94,5768.25,2021-12-07T05:47:41,No
CUST1138,Male,0,Yes,Yes,40,Yes,Fiber optic,Month-to-month,Electronic check,42.1,4729.23,2025-02-13T11:43:13,Yes
CUST1139,Male,1,Yes,Yes,17,Yes,No,One year,Mailed check,50.32,5236.03,2024-06-13T09:07:47,Yes
CUST1140,Female,0,No,No,59,No,Fiber optic,Month-to-month,Mailed check,119.72,2619.11,2023-06-19T05:40:24,No
CUST1141,Male,0,No,Yes,68,No,Fiber optic,Two year,Bank transfer,62.21,6524.39,2023-07-06T03:31:50,No
CUST1142,Female,0,Yes,No,58,Yes,Fiber optic,One year,Credit card,89.79,280.32,2022-02-14T22:34:37,No
CUST1143,Female,0,Yes,No,41,No,Fiber optic,Month-to-month,Electronic check,110.44,959.14,2024-07-28T03:42:47,No
CUST1144,Female,0,No,No,35,No,Fiber optic,Month-to-month,Mailed check,44.61,1708.54,2023-01-06T15:41:27,No
CUST1145,Male,1,No,No,39,Yes,Fiber optic,Month-to-month,Bank transfer,34.47,6618.23,2020-10-05T16:19:44,No
CUST1146,Male,0,No,Yes,29,Yes,Fiber optic,Two year,Credit card,44.33,6561.78,2021-05-21T05:11:53,No
CUST1147,Male,1,No,No,10,No,Fiber optic,Two year,Mailed check,108.24,3127.37,2025-06-25T08:34:57,Yes
CUST1148,Male,0,Yes,Yes,24,Yes,No,Month-to-month,Bank transfer,86.57,532.22,2021-05-22T16:46:39,No
CUST1149,Female,0,No,Yes,44,Yes,Fiber optic,One year,Electronic check,65.13,1452.35,2021-08-28T04:05:05,Yes
CUST1150,Male,0,No,No,50,No,DSL,Month-to-month,Mailed check,102.03,920.84,2020-10-21T20:33:09,No
CUST1151,Male,0,Yes,No,42,Yes,No,One year,Credit card,43.67,3379.39,2022-08-29T18:58:11,No
CUST1152,Male,1,No,Yes,65,Yes,No,One year,Mailed check,43.92,2182.2,2024-04-29T07:08:19,No
CUST1153,Male,0,No,No,46,No,DSL,Two year,Electronic check,76.72,6131.94,2025-07-12T02:05:14,No
CUST1154,Male,0,No,No,23,Yes,Fiber optic,Month-to-month,Electronic check,99.01,1874.75,2020-11-29T02:00:22,Yes
CUST1155,Female,0,No,No,36,No,DSL,Two year,Bank transfer,45.96,3447.95,2023-10-10T23:24:00,No
CUST1156,Male,0,No,Yes,55,Yes,DSL,Month-to-month,Electronic check,41.0,3252.0,2020-11-15T01:12:34,Yes
CUST1157,Female,0,Yes,Yes,45,No,DSL,One year,Credit card,67.4,7345.57,2022-09-16T14:44:09,No
CUST1158,Male,0,Yes,Yes,27,No,No,Two year,Credit card,33.42,1074.66,2023-05-05T22:46:44,Yes
CUST1159,Female,0,Yes,Yes,51,Yes,Fiber optic,Two year,Mailed check,94.78,5038.74,2024-12-12T20:27:36,No
CUST1160,Male,0,Yes,No,14,Yes,No,Two year,Mailed check,77.73,7795.69,2023-06-05T21:29:56,Yes
CUST1161,Male,0,Yes,No,44,Yes,Fiber optic,One year,Electronic check,71.25,5126.79,2020-08-12T20:38:17,No
CUST1162,Female,0,No,Yes,57,No,DSL,Two year,Electronic check,107.23,3206.58,2024-09-19T01:06:08,No
CUST1163,Female,0,No,Yes,66,No,No,Month-to-month,Electronic check,93.26,1996.66,2021-06-06T14:40:27,No
CUST1164,Female,0,No,Yes,71,Yes,Fiber optic,Month-to-month,Electronic check,34.93,1907.0,2023-01-11T00:17:35,No
CUST1165,Male,1,No,Yes,40,Yes,Fiber optic,One year,Mailed check,62.04,6608.6,2022-04-22T17:35:26,No
CUST1166,Female,0,No,Yes,64,No,DSL,Two year,Credit card,52.13,2548.33,2020-04-27T22:16:26,No
CUST1167,Male,0,No,No,39,Yes,No,Month-to-month,Bank transfer,100.21,3047.94,2022-12-31T08:20:30,No
CUST1168,Male,0,No,Yes,4,No,No,Two year,Mailed check,91.9,2616.56,2024-08-01T03:48:04,No
CUST1169,Female,0,No,Yes,27,Yes,No,Month-to-month,Mailed check,67.2,3046.45,2025-05-04T01:22:35,No
CUST1170,Female,0,No,No,37,Yes,No,One year,Credit card,102.36,159.53,2025-03-15T12:13:48,Yes
CUST1171,Male,0,No,No,17,Yes,No,Month-to-month,Bank transfer,61.01,6419.0,2022-10-05T23:44:25,No
CUST1172,Male,0,No,No,36,No,No,Month-to-month,Credit card,100.36,4431.54,2024-11-19T19:53:33,No
CUST1173,Female,0,No,Yes,26,Yes,No,Month-to-month,Electronic check,23.21,5358.49,2024-02-20T03:11:29,Yes
CUST1174,Female,0,No,No,24,No,DSL,One year,Bank transfer,33.46,1806.08,2020-01-03T21:40:00,No
CUST1175,Female,0,Yes,Yes,68,No,Fiber optic,Month-to-month,Mailed check,95.6,7300.28,2022-07-07T08:17:11,No
CUST1176,Male,1,No,Yes,26,Yes,DSL,One year,Electronic check,31.44,5867.9,2023-05-10T19:06:24,No
CUST1177,Male,0,Yes,No,53,Yes,Fiber optic,One year,Electronic check,88.38,421.1,2025-06-20T08:22:24,Yes
CUST1178,Male,0,No,Yes,6,No,Fiber optic,Month-to-month,Electronic check,92.36,5063.22,2023-09-16T15:59:57,No
CUST1179,Male,1,No,Yes,26,Yes,Fiber optic,Two year,Electronic check,86.22,4737.54,2022-08-24T11:27:24,No
CUST1180,Male,0,No,No,58,Yes,No,Month-to-month,Electronic check,101.82,7174.98,2021-08-18T01:25:51,Yes
CUST1181,Male,0,Yes,No,71,No,No,One year,Electronic check,71.16,2082.52,2021-04-04T05:35:08,No
CUST1182,Female,0,Yes,No,30,Yes,Fiber optic,Two year,Bank transfer,109.7,,2021-05-02T10:50:59,No
CUST1183,Male,1,No,No,67,No,Fiber optic,Month-to-month,Electronic check,76.95,6091.85,2020-05-04T17:04:48,No
CUST1184,Male,0,No,No,3,No,No,Month-to-month,Bank transfer,70.79,1869.24,2020-03-14T06:01:48,No
CUST1185,Male,1,No,No,17,No,No,Month-to-month,Bank transfer,70.94,1383.27,2022-12-03T00:11:38,Yes
CUST1186,Female,0,No,No,62,No,Fiber optic,Month-to-month,Credit card,111.21,1135.64,2022-03-05T08:18:55,No
CUST1187,Male,0,Yes,No,51,No,Fiber optic,Month-to-month,Credit card,44.37,5581.82,2025-07-30T10:35:25,No
CUST1188,Male,1,Yes,No,62,Yes,DSL,Two year,Bank transfer,89.5,7982.82,2023-03-15T23:51:01,No
CUST1189,Female,0,No,No,44,No,No,Month-to-month,Electronic check,44.26,6757.85,2021-11-05T06:48:13,No
CUST1190,Male,0,Yes,Yes,11,No,No,One year,Credit card,29.22,5049.72,2025-03-19T16:54:32,No
CUST1191,Male,0,Yes,Yes,7,Yes,Fiber optic,One year,Electronic check,115.37,3876.05,2021-09-27T10:02:59,No
CUST1192,Male,0,No,Yes,21,No,DSL,Two year,Electronic check,32.97,2473.17,2022-04-12T19:21:56,No
CUST1193,Male,1,No,No,40,No,No,One year,Credit card,88.62,6592.26,2021-04-24T22:36:57,No
CUST1194,Male,0,No,Yes,40,Yes,DSL,Two year,Credit card,62.46,6145.77,2021-12-07T05:39:44,Yes
CUST1195,Female,0,Yes,Yes,56,Yes,DSL,One year,Credit card,103.71,7334.78,2025-08-01T10:10:29,Yes
CUST1196,Female,0,No,Yes,31,Yes,No,Two year,Electronic check,97.32,926.18,2020-03-07T12:00:32,No
CUST1197,Female,0,Yes,Yes,54,No,Fiber optic,Month-to-month,Mailed check,34.38,,2021-09-02T10:04:12,No
CUST1198,Male,0,No,Yes,5,No,DSL,One year,Mailed check,66.78,6812.27,2023-03-02T08:48:51,No
CUST1199,Male,0,No,No,38,No,Fiber optic,One year,Credit card,22.75,5226.31,2022-07-05T09:43:03,Yes
CUST1200,Male,0,Yes,No,8,Yes,No,Two year,Electronic check,62.95,3145.81,2022-11-04T01:08:33,No
CUST1201,Female,1,Yes,No,31,No,DSL,Two year,Mailed check,90.02,5492.71,2025-06-25T14:53:12,No
CUST1202,Male,0,Yes,Yes,35,No,Fiber optic,Two year,Credit card,43.22,2606.76,2021-02-20T23:52:11,Yes
CUST1203,Male,0,Yes,Yes,15,No,DSL,One year,Electronic check,101.0,1934.03,2022-04-15T16:39:26,Yes
CUST1204,Female,1,Yes,No,11,Yes,DSL,Two year,Electronic check,25.32,171.56,2022-03-17T16:34:25,No
CUST1205,Male,0,Yes,No,40,Yes,DSL,Month-to-month,Electronic check,23.46,7308.03,2025-06-01T00:56:47,No
CUST1206,Female,0,No,No,66,Yes,No,Two year,Electronic check,22.75,6364.87,2024-06-18T03:05:17,No
CUST1207,Female,0,Yes,Yes,57,Yes,Fiber optic,Month-to-month,Electronic check,48.0,6012.11,2021-07-02T18:13:52,No
CUST1208,Female,1,Yes,No,8,No,DSL,Month-to-month,Electronic check,66.71,7651.84,2021-08-08T00:45:04,Yes
CUST1209,Male,0,No,No,16,No,Fiber optic,Two year,Electronic check,30.74,4220.89,2025-03-12T12:51:09,No
CUST1210,Male,1,Yes,No,4,No,No,Month-to-month,Credit card,119.67,2098.36,2024-10-25T09:44:23,No
CUST1211,Male,0,Yes,No,25,Yes,DSL,Month-to-month,Credit card,119.96,981.95,2022-04-26T15:50:41,No
CUST1212,Male,0,No,No,0,No,DSL,Month-to-month,Bank transfer,71.98,2329.6,2023-06-24T10:30:19,No
CUST1213,Male,0,No,Yes,0,No,DSL,Two year,Credit card,76.8,7158.04,2025-01-16T13:49:11,No
CUST1214,Male,0,No,Yes,34,No,Fiber optic,Two year,Credit card,112.68,6972.7,2020-09-14T20:15:39,Yes
CUST1215,Male,0,Yes,No,8,No,Fiber optic,Month-to-month,Bank transfer,96.98,6773.5,2022-12-17T13:09:14,Yes
CUST1216,Female,0,No,Yes,37,Yes,DSL,One year,Credit card,36.79,4697.54,2022-07-01T00:01:37,No
CUST1217,Male,0,Yes,No,3,No,Fiber optic,Month-to-month,Mailed check,99.25,3681.42,2024-02-03T22:52:50,No
CUST1218,Female,0,No,No,51,Yes,Fiber optic,Two year,Mailed check,43.09,2336.25,2023-01-04T06:33:30,No
CUST1219,Male,0,Yes,Yes,18,No,DSL,Month-to-month,Credit card,63.02,6174.66,2025-07-21T15:33:02,No
CUST1220,Male,0,No,Yes,4,Yes,DSL,Month-to-month,Credit card,73.25,4657.05,2022-06-10T22:09:59,No
CUST1221,Male,0,No,Yes,47,Yes,DSL,Two year,Credit card,91.7,5424.63,2024-06-10T05:40:53,Yes
CUST1222,Female,0,No,Yes,62,Yes,No,Two year,Credit card,35.02,5301.56,2024-12-08T16:43:30,Yes
CUST1223,Female,0,Yes,No,37,No,DSL,One year,Bank transfer,27.62,6189.24,2023-07-03T23:14:04,No
CUST1224,Female,0,Yes,Yes,51,Yes,DSL,Month-to-month,Bank transfer,106.61,5394.82,2025-08-30T17:29:43,No
CUST1225,Female,0,No,No,45,Yes,DSL,Month-to-month,Credit card,102.68,3671.51,2025-09-09T03:48:49,No
CUST1226,Male,0,No,No,8,No,DSL,Month-to-month,Credit card,72.33,3493.26,2020-01-15T07:22:26,Yes
